DATE,POPULATION,MSA
2000-01-01,4281.905,atlanta-sandy_springs-roswell
2001-01-01,4432.95,atlanta-sandy_springs-roswell
2002-01-01,4555.49,atlanta-sandy_springs-roswell
2003-01-01,4673.146,atlanta-sandy_springs-roswell
2004-01-01,4802.3,atlanta-sandy_springs-roswell
2005-01-01,4947.012,atlanta-sandy_springs-roswell
2006-01-01,5119.641,atlanta-sandy_springs-roswell
2007-01-01,5267.527,atlanta-sandy_springs-roswell
2008-01-01,5385.586,atlanta-sandy_springs-roswell
2009-01-01,5475.213,atlanta-sandy_springs-roswell
2010-01-01,5302.733,atlanta-sandy_springs-roswell
2011-01-01,5367.069,atlanta-sandy_springs-roswell
2012-01-01,5445.543,atlanta-sandy_springs-roswell
2013-01-01,5512.111,atlanta-sandy_springs-roswell
2014-01-01,5595.218,atlanta-sandy_springs-roswell
2015-01-01,5688.583,atlanta-sandy_springs-roswell
2016-01-01,5791.874,atlanta-sandy_springs-roswell
2017-01-01,5876.763,atlanta-sandy_springs-roswell
2018-01-01,5951.394,atlanta-sandy_springs-roswell
2019-01-01,6027.231,atlanta-sandy_springs-roswell
2020-01-01,6103.261,atlanta-sandy_springs-roswell
2021-01-01,6143.138,atlanta-sandy_springs-roswell
2022-01-01,6222.106,atlanta-sandy_springs-roswell
2000-01-01,4402.611,boston-cambridge-newton
2001-01-01,4443.31,boston-cambridge-newton
2002-01-01,4459.011,boston-cambridge-newton
2003-01-01,4458.187,boston-cambridge-newton
2004-01-01,4456.479,boston-cambridge-newton
2005-01-01,4458.891,boston-cambridge-newton
2006-01-01,4473.477,boston-cambridge-newton
2007-01-01,4503.921,boston-cambridge-newton
2008-01-01,4544.705,boston-cambridge-newton
2009-01-01,4588.68,boston-cambridge-newton
2010-01-01,4566.448,boston-cambridge-newton
2011-01-01,4610.267,boston-cambridge-newton
2012-01-01,4657.545,boston-cambridge-newton
2013-01-01,4704.297,boston-cambridge-newton
2014-01-01,4748.757,boston-cambridge-newton
2015-01-01,4780.848,boston-cambridge-newton
2016-01-01,4812.039,boston-cambridge-newton
2017-01-01,4845.221,boston-cambridge-newton
2018-01-01,4862.29,boston-cambridge-newton
2019-01-01,4876.271,boston-cambridge-newton
2020-01-01,4933.65,boston-cambridge-newton
2021-01-01,4906.46,boston-cambridge-newton
2022-01-01,4903.026,boston-cambridge-newton
2023-01-01,4919.179,boston-cambridge-newton
2000-01-01,9117.732,chicago-naperville-elgin
2001-01-01,9192.501,chicago-naperville-elgin
2002-01-01,9245.135,chicago-naperville-elgin
2003-01-01,9286.162,chicago-naperville-elgin
2004-01-01,9332.09,chicago-naperville-elgin
2005-01-01,9362.08,chicago-naperville-elgin
2006-01-01,9398.855,chicago-naperville-elgin
2007-01-01,9451.936,chicago-naperville-elgin
2008-01-01,9515.636,chicago-naperville-elgin
2009-01-01,9580.567,chicago-naperville-elgin
2010-01-01,9470.661,chicago-naperville-elgin
2011-01-01,9500.919,chicago-naperville-elgin
2012-01-01,9528.134,chicago-naperville-elgin
2013-01-01,9550.227,chicago-naperville-elgin
2014-01-01,9560.285,chicago-naperville-elgin
2015-01-01,9552.351,chicago-naperville-elgin
2016-01-01,9533.732,chicago-naperville-elgin
2017-01-01,9513.947,chicago-naperville-elgin
2018-01-01,9485.403,chicago-naperville-elgin
2019-01-01,9454.282,chicago-naperville-elgin
2020-01-01,9600.822,chicago-naperville-elgin
2021-01-01,9519.538,chicago-naperville-elgin
2022-01-01,9441.957,chicago-naperville-elgin
2000-01-01,5196.188,dallas-fort_worth-arlington
2001-01-01,5354.623,dallas-fort_worth-arlington
2002-01-01,5476.578,dallas-fort_worth-arlington
2003-01-01,5582.033,dallas-fort_worth-arlington
2004-01-01,5689.982,dallas-fort_worth-arlington
2005-01-01,5816.407,dallas-fort_worth-arlington
2006-01-01,5999.411,dallas-fort_worth-arlington
2007-01-01,6156.652,dallas-fort_worth-arlington
2008-01-01,6301.085,dallas-fort_worth-arlington
2009-01-01,6447.615,dallas-fort_worth-arlington
2010-01-01,6392.097,dallas-fort_worth-arlington
2011-01-01,6510.55,dallas-fort_worth-arlington
2012-01-01,6644.519,dallas-fort_worth-arlington
2013-01-01,6753.804,dallas-fort_worth-arlington
2014-01-01,6889.603,dallas-fort_worth-arlington
2015-01-01,7042.322,dallas-fort_worth-arlington
2016-01-01,7195.475,dallas-fort_worth-arlington
2017-01-01,7337.707,dallas-fort_worth-arlington
2018-01-01,7457.586,dallas-fort_worth-arlington
2019-01-01,7574.39,dallas-fort_worth-arlington
2020-01-01,7666.418,dallas-fort_worth-arlington
2021-01-01,7774.647,dallas-fort_worth-arlington
2022-01-01,7947.439,dallas-fort_worth-arlington
2023-01-01,8100.037,dallas-fort_worth-arlington
2000-01-01,4739.414,houston-the_woodlands-sugar_land
2001-01-01,4851.189,houston-the_woodlands-sugar_land
2002-01-01,4978.638,houston-the_woodlands-sugar_land
2003-01-01,5084.017,houston-the_woodlands-sugar_land
2004-01-01,5190.444,houston-the_woodlands-sugar_land
2005-01-01,5299.567,houston-the_woodlands-sugar_land
2006-01-01,5484.883,houston-the_woodlands-sugar_land
2007-01-01,5597.674,houston-the_woodlands-sugar_land
2008-01-01,5726.705,houston-the_woodlands-sugar_land
2009-01-01,5867.489,houston-the_woodlands-sugar_land
2010-01-01,5947.185,houston-the_woodlands-sugar_land
2011-01-01,6056.008,houston-the_woodlands-sugar_land
2012-01-01,6183.119,houston-the_woodlands-sugar_land
2013-01-01,6327.622,houston-the_woodlands-sugar_land
2014-01-01,6499.375,houston-the_woodlands-sugar_land
2015-01-01,6670.803,houston-the_woodlands-sugar_land
2016-01-01,6806.315,houston-the_woodlands-sugar_land
2017-01-01,6898.912,houston-the_woodlands-sugar_land
2018-01-01,6974.948,houston-the_woodlands-sugar_land
2019-01-01,7063.4,houston-the_woodlands-sugar_land
2020-01-01,7140.749,houston-the_woodlands-sugar_land
2021-01-01,7215.837,houston-the_woodlands-sugar_land
2022-01-01,7340.118,houston-the_woodlands-sugar_land
2010-01-01,12838.023,los_angeles-long_beach-anaheim
2011-01-01,12923.899,los_angeles-long_beach-anaheim
2012-01-01,13010.104,los_angeles-long_beach-anaheim
2013-01-01,13092.451,los_angeles-long_beach-anaheim
2014-01-01,13159.972,los_angeles-long_beach-anaheim
2015-01-01,13226.215,los_angeles-long_beach-anaheim
2016-01-01,13259.142,los_angeles-long_beach-anaheim
2017-01-01,13266.524,los_angeles-long_beach-anaheim
2018-01-01,13237.112,los_angeles-long_beach-anaheim
2019-01-01,13182.453,los_angeles-long_beach-anaheim
2020-01-01,13178.547,los_angeles-long_beach-anaheim
2021-01-01,12970.073,los_angeles-long_beach-anaheim
2022-01-01,12870.137,los_angeles-long_beach-anaheim
2023-01-01,12799.1,los_angeles-long_beach-anaheim
2000-01-01,5025.806,miami-fort_lauderdale-west_palm_beach
2001-01-01,5120.256,miami-fort_lauderdale-west_palm_beach
2002-01-01,5212.602,miami-fort_lauderdale-west_palm_beach
2003-01-01,5280.671,miami-fort_lauderdale-west_palm_beach
2004-01-01,5362.678,miami-fort_lauderdale-west_palm_beach
2005-01-01,5443.159,miami-fort_lauderdale-west_palm_beach
2006-01-01,5466.743,miami-fort_lauderdale-west_palm_beach
2007-01-01,5465.183,miami-fort_lauderdale-west_palm_beach
2008-01-01,5501.752,miami-fort_lauderdale-west_palm_beach
2009-01-01,5547.051,miami-fort_lauderdale-west_palm_beach
2010-01-01,5583.46,miami-fort_lauderdale-west_palm_beach
2011-01-01,5668.482,miami-fort_lauderdale-west_palm_beach
2012-01-01,5746.09,miami-fort_lauderdale-west_palm_beach
2013-01-01,5823.221,miami-fort_lauderdale-west_palm_beach
2014-01-01,5894.379,miami-fort_lauderdale-west_palm_beach
2015-01-01,5969.756,miami-fort_lauderdale-west_palm_beach
2016-01-01,6055.139,miami-fort_lauderdale-west_palm_beach
2017-01-01,6115.654,miami-fort_lauderdale-west_palm_beach
2018-01-01,6140.602,miami-fort_lauderdale-west_palm_beach
2019-01-01,6164.887,miami-fort_lauderdale-west_palm_beach
2020-01-01,6132.94,miami-fort_lauderdale-west_palm_beach
2021-01-01,6109.373,miami-fort_lauderdale-west_palm_beach
2022-01-01,6139.34,miami-fort_lauderdale-west_palm_beach
2000-01-01,18352.743,new_york-newark-jersey_city
2001-01-01,18490.029,new_york-newark-jersey_city
2002-01-01,18590.085,new_york-newark-jersey_city
2003-01-01,18671.32,new_york-newark-jersey_city
2004-01-01,18747.431,new_york-newark-jersey_city
2005-01-01,18798.114,new_york-newark-jersey_city
2006-01-01,18825.633,new_york-newark-jersey_city
2007-01-01,18901.167,new_york-newark-jersey_city
2008-01-01,18968.501,new_york-newark-jersey_city
2009-01-01,19069.796,new_york-newark-jersey_city
2010-01-01,18923.437,new_york-newark-jersey_city
2011-01-01,19053.124,new_york-newark-jersey_city
2012-01-01,19150.453,new_york-newark-jersey_city
2013-01-01,19227.457,new_york-newark-jersey_city
2014-01-01,19282.138,new_york-newark-jersey_city
2015-01-01,19322.239,new_york-newark-jersey_city
2016-01-01,19336.456,new_york-newark-jersey_city
2017-01-01,19325.115,new_york-newark-jersey_city
2018-01-01,19289.42,new_york-newark-jersey_city
2019-01-01,19232.494,new_york-newark-jersey_city
2020-01-01,20048.886,new_york-newark-jersey_city
2021-01-01,19774.386,new_york-newark-jersey_city
2022-01-01,19617.869,new_york-newark-jersey_city
2000-01-01,5693.275,philadelphia-camden-wilmington
2001-01-01,5722.541,philadelphia-camden-wilmington
2002-01-01,5755.874,philadelphia-camden-wilmington
2003-01-01,5787.788,philadelphia-camden-wilmington
2004-01-01,5822.876,philadelphia-camden-wilmington
2005-01-01,5850.621,philadelphia-camden-wilmington
2006-01-01,5880.912,philadelphia-camden-wilmington
2007-01-01,5912.678,philadelphia-camden-wilmington
2008-01-01,5940.496,philadelphia-camden-wilmington
2009-01-01,5968.252,philadelphia-camden-wilmington
2010-01-01,5971.202,philadelphia-camden-wilmington
2011-01-01,5996.995,philadelphia-camden-wilmington
2012-01-01,6017.788,philadelphia-camden-wilmington
2013-01-01,6031.789,philadelphia-camden-wilmington
2014-01-01,6049.852,philadelphia-camden-wilmington
2015-01-01,6060.137,philadelphia-camden-wilmington
2016-01-01,6070.16,philadelphia-camden-wilmington
2017-01-01,6082.355,philadelphia-camden-wilmington
2018-01-01,6096.805,philadelphia-camden-wilmington
2019-01-01,6104.777,philadelphia-camden-wilmington
2020-01-01,6241.967,philadelphia-camden-wilmington
2021-01-01,6253.394,philadelphia-camden-wilmington
2022-01-01,6242.746,philadelphia-camden-wilmington
2023-01-01,6246.16,philadelphia-camden-wilmington
2000-01-01,4821.031,washington-arlington-alexandria
2001-01-01,4927.274,washington-arlington-alexandria
2002-01-01,5014.571,washington-arlington-alexandria
2003-01-01,5086.376,washington-arlington-alexandria
2004-01-01,5158.524,washington-arlington-alexandria
2005-01-01,5229.267,washington-arlington-alexandria
2006-01-01,5265.012,washington-arlington-alexandria
2007-01-01,5313.033,washington-arlington-alexandria
2008-01-01,5377.936,washington-arlington-alexandria
2009-01-01,5476.241,washington-arlington-alexandria
2010-01-01,5678.733,washington-arlington-alexandria
2011-01-01,5783.752,washington-arlington-alexandria
2012-01-01,5881.329,washington-arlington-alexandria
2013-01-01,5966.559,washington-arlington-alexandria
2014-01-01,6036.388,washington-arlington-alexandria
2015-01-01,6099.163,washington-arlington-alexandria
2016-01-01,6155.359,washington-arlington-alexandria
2017-01-01,6217.791,washington-arlington-alexandria
2018-01-01,6256.312,washington-arlington-alexandria
2019-01-01,6297.454,washington-arlington-alexandria
2020-01-01,6260.311,washington-arlington-alexandria
2021-01-01,6258.549,washington-arlington-alexandria
2022-01-01,6265.891,washington-arlington-alexandria
2023-01-01,6304.975,washington-arlington-alexandria
